,Unnamed: 0,Crop_OpenAg,County,HR_NAME,ACRES,Neighboring Counties,Neighboring HR,usda crop,price_2020,yield_2020
95,95,Beans Dry,Madera,San Joaquin River,185.29352121,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']",,,
96,96,Beans Dry,Merced,San Joaquin River,808.39657445,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']",Beans Lima Large Dry,1088.64,1.28
97,97,Beans Dry,Monterey,Central Coast,161.25881571,"['Kings', 'San Benito', 'Fresno', 'Santa Cruz', 'San Luis Obispo']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Beans Dry Edible Unspecified,2080.23,1.5
98,98,Beans Dry,Riverside,Colorado River,127.42333875,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']","['South Coast', 'South Lahontan']",Beans Fresh Unspecified,295.17,25.11
99,99,Beans Dry,Sacramento,Sacramento River,541.85121591,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']","['North Coast', 'North Lahontan', 'San Joaquin River']",,,
100,100,Beans Dry,Sacramento,San Joaquin River,321.59308897,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']","['North Coast', 'North Lahontan', 'San Joaquin River']",,,
101,101,Beans Dry,San Benito,Central Coast,102.33197074,"['Monterey', 'Fresno', 'Santa Clara', 'Merced', 'Santa Cruz']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']",,,
102,102,Beans Dry,San Joaquin,San Joaquin River,5354.63771834,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']",,,
103,103,Beans Dry,San Luis Obispo,Central Coast,191.20668982,"['Santa Barbara', 'Kings', 'Monterey', 'Kern']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']",,,
104,104,Beans Dry,San Mateo,San Francisco Bay,23.97539207,"['San Francisco', 'Santa Clara', 'Alameda', 'Santa Cruz']","['Central Coast', 'North Coast', 'San Joaquin River']",Beans Snap Unspecified,2747.13,2.42
105,105,Beans Dry,Santa Barbara,Central Coast,873.24719337,"['Ventura', 'Kern', 'San Luis Obispo']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Beans Dry Edible Unspecified,,
106,106,Beans Dry,Santa Clara,Central Coast,201.51808476,"['San Benito', 'Alameda', 'Merced', 'Stanislaus', 'San Mateo', 'Santa Cruz']","['Central Coast', 'North Coast', 'San Joaquin River']",Beans Snap Unspecified,1471.02,4.1
107,107,Beans Dry,Santa Cruz,Central Coast,39.23827567,"['Monterey', 'San Benito', 'Santa Clara', 'San Mateo']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']",,,
